text,label
Your bank account is suspended verify now,scam
Account blocked verify urgently,scam
Your OTP is required to complete transaction,scam
Congratulations you won 500,scam
You won 1000 rupees click here,scam
Urgent update your KYC immediately,scam
Click here to claim your prize,scam
Limited offer get gift card free now,scam
Your OTP is required to complete transaction,scam
Win a free gift card now click link,scam
Your OTP is required to complete transaction,scam
You won 10000 rupees click here,scam
Congratulations you won 10000,scam
Click here to claim your prize,scam
Limited offer get voucher free now,scam
Win a free laptop now click link,scam
Click here to claim your prize,scam
Payment failed retry using this link,scam
Limited offer get gift card free now,scam
Your bank account is suspended verify now,scam
Congratulations you won 1000,scam
Win a free gift card now click link,scam
Win a free laptop now click link,scam
Payment failed retry using this link,scam
Your OTP is required to complete transaction,scam
Congratulations you won 1000,scam
Win a free gift card now click link,scam
Urgent update your KYC immediately,scam
Payment failed retry using this link,scam
You won 500 rupees click here,scam
Account blocked verify urgently,scam
Limited offer get iPhone free now,scam
Limited offer get laptop free now,scam
Limited offer get gift card free now,scam
Your OTP is required to complete transaction,scam
Your bank account is suspended verify now,scam
You won 10000 rupees click here,scam
You won 1000 rupees click here,scam
You won 1000 rupees click here,scam
Your bank account is suspended verify now,scam
Click here to claim your prize,scam
Win a free iPhone now click link,scam
Account blocked verify urgently,scam
Your OTP is required to complete transaction,scam
Your OTP is required to complete transaction,scam
Limited offer get gift card free now,scam
Urgent update your KYC immediately,scam
You won 1000 rupees click here,scam
Click here to claim your prize,scam
You won 500 rupees click here,scam
Win a free voucher now click link,scam
Click here to claim your prize,scam
Urgent update your KYC immediately,scam
Payment failed retry using this link,scam
Click here to claim your prize,scam
Click here to claim your prize,scam
Your OTP is required to complete transaction,scam
Urgent update your KYC immediately,scam
Click here to claim your prize,scam
Payment failed retry using this link,scam
Your bank account is suspended verify now,scam
Click here to claim your prize,scam
Click here to claim your prize,scam
Win a free laptop now click link,scam
Congratulations you won 500,scam
Payment failed retry using this link,scam
Payment failed retry using this link,scam
You won 10000 rupees click here,scam
Your OTP is required to complete transaction,scam
Your bank account is suspended verify now,scam
Payment failed retry using this link,scam
Account blocked verify urgently,scam
You won 500 rupees click here,scam
Urgent update your KYC immediately,scam
Your OTP is required to complete transaction,scam
Limited offer get iPhone free now,scam
Win a free voucher now click link,scam
Account blocked verify urgently,scam
Urgent update your KYC immediately,scam
You won 10000 rupees click here,scam
Your OTP is required to complete transaction,scam
Account blocked verify urgently,scam
Urgent update your KYC immediately,scam
Your bank account is suspended verify now,scam
Congratulations you won 10000,scam
You won 1000 rupees click here,scam
Account blocked verify urgently,scam
Limited offer get voucher free now,scam
Payment failed retry using this link,scam
Your bank account is suspended verify now,scam
Congratulations you won 500,scam
Win a free gift card now click link,scam
You won 500 rupees click here,scam
Urgent update your KYC immediately,scam
Congratulations you won 10000,scam
Limited offer get voucher free now,scam
Your OTP is required to complete transaction,scam
Win a free laptop now click link,scam
Your OTP is required to complete transaction,scam
Your OTP is required to complete transaction,scam
Your bank account is suspended verify now,scam
Win a free iPhone now click link,scam
Click here to claim your prize,scam
Your OTP is required to complete transaction,scam
Your OTP is required to complete transaction,scam
Your OTP is required to complete transaction,scam
Your bank account is suspended verify now,scam
Payment failed retry using this link,scam
Your bank account is suspended verify now,scam
Congratulations you won 1000,scam
Click here to claim your prize,scam
Your OTP is required to complete transaction,scam
Your bank account is suspended verify now,scam
Account blocked verify urgently,scam
Click here to claim your prize,scam
Your bank account is suspended verify now,scam
Congratulations you won 500,scam
Urgent update your KYC immediately,scam
Payment failed retry using this link,scam
Click here to claim your prize,scam
Limited offer get iPhone free now,scam
Congratulations you won 1000,scam
Your bank account is suspended verify now,scam
Your OTP is required to complete transaction,scam
Urgent update your KYC immediately,scam
You won 5000 rupees click here,scam
You won 5000 rupees click here,scam
Account blocked verify urgently,scam
Account blocked verify urgently,scam
Congratulations you won 10000,scam
Win a free laptop now click link,scam
Congratulations you won 1000,scam
Limited offer get voucher free now,scam
You won 1000 rupees click here,scam
Account blocked verify urgently,scam
Your OTP is required to complete transaction,scam
